id,name,city,tennis_courts,padel_courts,beach_courts,latitude,longitude
62130237,TENNIS CLUB FETE LE MUR MARSEILLE,MARSEILLE,2,0,0,43.344604,5.354051
62130234,TENNIS CLUB FUVEAU,FUVEAU,8,1,0,43.452583,5.553219
62130163,TENNIS CLUB GARDANNAIS,GARDANNE,7,0,0,43.462864,5.480601
62130201,TENNIS CLUB GIGNACAIS,GIGNAC-LA-NERTHE,6,0,0,43.393112,5.237164
62130301,TENNIS CLUB LA DORGALE,ROQUEVAIRE,5,0,0,43.349537,5.603996
62130007,TENNIS CLUB LA FOURRAGERE ASPTT,MARSEILLE,9,2,1,43.307163,5.425376
62130009,TENNIS CLUB LA ROSE,MARSEILLE,5,0,0,43.3274,5.422257
62130036,TENNIS CLUB MARIGNANAIS,MARIGNANE,8,0,0,43.419605,5.20562
62130002,TENNIS CLUB MARSEILLE,MARSEILLE,9,0,0,43.268215,5.380573
62130269,TENNIS CLUB MIMET,MIMET,4,0,0,43.42658,5.487111
62130219,TENNIS CLUB MUN.THOLONET,LE THOLONET,5,0,0,43.516865,5.502212
62130571,TENNIS CLUB NEGRELIEN,CHATEAUNEUF LE ROUGE,4,0,0,43.487732,5.592618
62130136,TENNIS CLUB PENNES-MIRABEAU,LES PENNES MIRABEAU,9,0,0,43.38545,5.343804
62130107,TENNIS CLUB PENNOIS,LA PENNE-SUR-HUVEAUNE,4,0,0,43.282143,5.512198
62130391,TENNIS CLUB PEYPIN,PEYPIN,4,0,4,43.38408,5.580274
62130567,TENNIS CLUB ROUVIERE,MARSEILLE,5,0,0,43.25252,5.422254
62130023,TENNIS CLUB ROY D'ESPAGNE,MARSEILLE,5,0,0,43.237362,5.389725
62830451,TENNIS CLUB SAINT-ZACHARIE,ST ZACHARIE,5,0,0,43.38238,5.702949
62130387,TENNIS CLUB SEPTEMOIS,SEPTEMES LES VALLONS,7,0,0,43.406445,5.371789
62138013,TENNIS DU PHARO MAIRIE DU 1/7,MARSEILLE 07,2,0,0,43.29169,5.35993
62130287,TENNIS LA DESTROUSSE,LA DESTROUSSE,4,0,0,43.38285,5.599903
62130574,TENNIS LOISIRS TOURSAINTE,MARSEILLE,7,0,0,43.348564,5.391941
62130347,TENNIS PADEL CLUB PEYNIER,PEYNIER,4,2,0,43.447826,5.641302
62130004,TENNIS PARK MARSEILLE,MARSEILLE,11,0,1,43.300587,5.49311
62130180,TENNIS SPORTING CLUB DE CASSIS,CASSIS,9,3,0,43.231106,5.533148
62138016,TENNIS et PADEL MUNICIPAUX ST VICTORET,ST VICTORET,6,2,0,43.41452,5.24325
62130052,TOTAL PROVENCE SPORTS,LA MEDE,2,0,0,43.39923,5.111521
62130401,UCS DOUANES PEYSSONNEL TENNIS,MARSEILLE 03,5,0,0,43.310814,5.37775
62130006,WILLIAM TENNIS CLUB,MARSEILLE,6,0,0,43.273182,5.380015
62830064,ASPTT HYERES - Section,HYERES,4,0,0,43.10974,6.180045
62830052,ASPTT TOULON - section,LA VALETTE DU VAR,6,0,0,43.126213,5.986719
62830290,BORMES MIMOSAS TC,BORMES LES MIMOSAS,5,0,0,43.143986,6.332917
62L00830,COMITE VAR TENNIS,LA GARDE,4,0,2,43.148,6.044
62830066,CS CAVALAIROIS TENNIS,CAVALAIRE,5,0,0,43.19106,6.532248
62830028,CSA MEDITERRANEE - Tennis,TOULON,8,0,0,43.129807,5.922518
62830180,CST TENNIS,LA GARDE,11,1,2,43.14868,6.045505
62830417,SMASH CLUB,LE LAVANDOU,6,0,0,43.158558,6.425488
62830445,TC BELGENTIEROIS,BELGENTIER,2,0,0,43.245106,5.999776
62830316,TC BESSOIS,BESSE SUR ISSOLE,4,0,0,43.3496,6.1776
62830165,TC CARQUEIRANNE,CARQUEIRANNE,6,0,0,43.094185,6.080233
62830448,TC COLLOBRIERES,collobrieres,3,0,0,43.23735,6.30875
62830176,TC CUERSOIS,CUERS,4,0,0,43.237877,6.0722
62830344,TC DE CARNOULES,CARNOULES,4,0,0,43.294907,6.18014
62830327,TC DE FORCALQUEIRET,FORCALQUEIRET,4,0,0,43.335075,6.080943
62830102,TC DE ST MANDRIER,SAINT MANDRIER,4,0,0,43.077747,5.906078
62830088,TC DU CAP SICIE,LA SEYNE SUR MER,4,0,0,43.08626,5.885514
62830029,TC DU LITTORAL TOULON,TOULON,6,0,0,43.114468,5.941695
62830269,TC DU REVEST,LE REVEST LES EAUX,4,0,0,43.1693,5.92343
62830435,TC FLASSANNAIS,FLASSANS SUR ISSOLE,6,0,0,43.36739,6.21852
62830187,TC GONFARONNAIS,GONFARON,4,0,0,43.3236,6.294388
62830031,TC HYEROIS,HYERES,11,0,0,43.109924,6.137571
62830065,TC LA GARDE,LA GARDE,11,2,0,43.132217,6.023776
62830074,TC LE LAVANDOU,LE LAVANDOU,6,1,0,43.133293,6.36378
62830101,TC LONDAIS,LA LONDE,6,0,0,43.14229,6.232505
62830186,TC PIERREFEUCAIN,PIERREFEU DU VAR,3,0,0,43.22595,6.143766
62830126,TC PRADETAN,LE PRADET,5,0,0,43.105457,6.014675
62830455,TC SAINTE ANASTASIE,STE ANASTASIE SUR ISSOLE,2,0,0,43.33921,6.11987
62830230,TC SOLLIES PONT,SOLLIES PONT,10,0,2,43.193947,6.040149
62830081,TC TOULONNAIS,LA VALETTE DU VAR,11,10,0,43.13403,6.000001
62830294,TCM DE PIGNANS,PIGNANS,5,0,0,43.30077,6.2205
62830257,TCM DE PUGET VILLE,PUGET VILLE,2,1,0,43.289207,6.135894
62838001,TENNIS CLUB MUNICIPAL SEYNOIS,LA SEYNE SUR MER,10,0,0,43.09547,5.85783
62830399,TENNIS DES SOURCES,GAREOULT,3,0,0,43.335506,6.047871
62830157,TENNIS LA CRAU,LA CRAU,4,0,0,43.14642,6.083311
62830456,TENNIS PADEL ST CHARLES,LA GARDE,3,4,0,43.11655,6.011189
62060461,ACE LINE TENNIS PADEL PEGOMAS,PEGOMAS,1,0,0,43.598553,6.932742
62060195,AGASC TC MONTALEIGNE,CAGNES SUR MER,8,4,1,43.69302,7.17519
62060003,ALL IN CÔTE D'AZUR TENNIS CLUB ACADEMY,VILLENEUVE LOUBET,16,4,1,43.65965,7.096732
62060023,ALL IN TENNIS PADEL COUNTRY CLUB DE GRASSE,GRASSE,15,6,0,43.632412,6.953832
62060446,AMADEUS ATHLETIC ASSOCIATION,VILLENEUVE LOUBET,2,0,0,43.64382,7.124484
62830091,AMSLF TC GALLIENI,FREJUS,9,3,0,43.443073,6.751267
62060295,AS MOURATOGLOU CC,Biot,34,4,0,43.620922,7.06106
62060198,ASGTCS VAUBAN,NICE,7,0,0,43.71165,7.285455
62060137,ASLM TENNIS CANNES,CANNES LA BOCCA,16,0,0,43.560284,6.961751
62060401,ASOA TENNIS,ANTIBES,3,0,0,43.594627,7.072007
62060090,ASPTT CANNES,LE CANNET,5,0,0,43.565308,6.978652
62060007,ASPTT NICE,ST LAURENT DU VAR,7,1,0,43.679604,7.189563
62060379,ASS ROURETOISE DE TENNIS,LE ROURET,3,0,0,43.67053,7.016556
62060432,ASS TC DE L ARA,VENCE,3,0,0,43.719124,7.104206
62060442,ASS.SPORTS ET LOISIRS ST JACQUES,GRASSE,2,0,0,43.639156,6.911146
